Timestamp,Conductance,SCL_local,Threshold,SCR_Peak,Trigger,SCR_Latency_s,SCL_Baseline,SCL_Global,latitude,longitude,runId,study,name,birthYear,gender
2025-11-06 15:05:54,5.188630330180852,5.144842511394063,5.219842511394063,0,0,,5.094994315463579,5.145552897391638,48.7482013,9.2915672,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:05:55,5.176984020625136,5.15109243162482,5.22609243162482,0,0,,5.093166698689252,5.140975250294597,48.7482345,9.2915235,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:05:56,5.170841788873148,5.155854655463698,5.230854655463698,0,0,,5.091358404936115,5.135979706480891,48.7482632,9.2914815,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:05:57,5.160910518053375,5.15886993286922,5.23386993286922,0,0,,5.089575802655966,5.130575254704659,48.7482889,9.2914429,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:05:58,5.151896593534224,5.160317744639331,5.235317744639331,0,0,,5.087825379010663,5.124775644960287,48.7483183,9.2914092,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:05:59,5.143281515232736,5.161121906548736,5.236121906548736,0,0,,5.086113710317644,5.1185997316194225,48.748352,9.2913778,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:00,5.147389631274649,5.1633315145945815,5.238331514594582,0,0,,5.084447431235658,5.112071729231983,48.748378,9.2913512,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:01,5.157600094446784,5.165489272632129,5.2404892726321295,0,0,,5.082833202830042,5.105221371869886,48.7484091,9.2913255,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:02,5.15536655562788,5.164252849357379,5.23925284935738,0,0,,5.081277679673118,5.098083968795161,48.7484396,9.2912971,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:03,5.144158976911591,5.159706002476038,5.234706002476038,0,0,,5.079787476151087,5.09070035128797,48.7484745,9.2912659,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:04,5.130199359293436,5.153862905387296,5.228862905387296,0,0,,5.078369132164833,5.083116707901162,48.7485094,9.2912324,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:05,5.110257048410358,5.147190208165818,5.222190208165818,0,0,,5.0770290784285645,5.075384308279771,48.7485431,9.2912032,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:06,5.091710699289097,5.139277099207414,5.214277099207414,0,0,,5.075773601586387,5.067559118819088,48.7485851,9.2911779,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:07,5.073642965629029,5.130550343964979,5.205550343964979,0,0,,5.074608809381425,5.059701316514179,48.7486229,9.291149,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:08,5.056293155160752,5.120990000127631,5.195990000127631,0,0,,5.0735405961237525,5.051874710076808,48.7486627,9.291116,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:09,5.04033930645429,5.110695779249786,5.185695779249786,0,0,,5.072574608711401,5.044146079570552,48.7487065,9.2910795,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:10,5.028692996898572,5.098826115812179,5.173826115812179,0,0,,5.0717162134626665,5.036584447364588,48.7487501,9.2910501,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:11,5.017884264399945,5.084854532807495,5.159854532807495,0,0,,5.070970464017935,5.029260294139763,48.7487921,9.2910202,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:12,5.007514262740743,5.070069303518782,5.145069303518782,0,0,,5.070342070565403,5.022244734061652,48.748836,9.2909898,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:13,4.998261030490995,5.055479508876722,5.130479508876722,0,0,,5.069835370637919,5.015608663162599,48.7488726,9.2909564,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:14,4.984780028334034,5.040937575780782,5.115937575780782,0,0,,5.069454301717992,5.009421894552719,48.748908,9.2909246,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:15,4.9796349121262,5.027875362152367,5.102875362152367,0,0,,5.069202375875219,5.00375229338577,48.7489438,9.2908963,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:16,4.976404257763142,5.01634471799977,5.09134471799977,0,0,,5.069082656645106,4.9986649235749825,48.7489811,9.2908683,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:17,4.98150948934921,5.007131370371789,5.082131370371789,0,0,,5.069097738340725,4.994221217107354,48.74902,9.2908432,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:18,4.989765606054804,5.000478615461193,5.0754786154611935,0,0,,5.069249727969038,4.990478175507826,48.7490589,9.2908214,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:19,4.993514760500823,4.995796160865847,5.070796160865847,0,0,,5.069540229902932,4.9874876117073015,48.7490936,9.2908005,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:20,4.997224030325075,4.992649264208497,5.067649264208497,0,0,,5.0699703334387,4.985295439482465,48.7491373,9.2907599,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:21,4.999328179662345,4.990793655734738,5.065793655734738,0,0,,5.070540603348003,4.983941016951341,48.7491745,9.2907277,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:22,4.995708414697961,4.989613070930458,5.064613070930458,0,0,,5.071251073513533,4.983456550413191,48.7492142,9.2906956,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:23,4.984500835981672,4.988237051479527,5.063237051479527,0,0,,5.072101243718775,4.983866565072076,48.7492539,9.2906601,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:24,4.979515258260902,4.987710574472213,5.062710574472213,0,0,,5.073090079643885,4.985187449731489,48.7492926,9.2906294,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:25,4.975845873058415,4.9873316705654345,5.062331670565435,0,0,,5.074216016101251,4.9874270831715695,48.7493288,9.2905966,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:26,4.972535449451825,4.986944789734304,5.061944789734304,0,0,,5.075476963524853,4.990584550378678,48.7493676,9.2905605,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:27,4.967829064083419,4.985576747207724,5.060576747207724,0,0,,5.0768703177067,4.994649956907489,48.7494062,9.2905249,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:28,4.962125563170859,4.98281274291933,5.05781274291933,0,0,,5.078392972751121,4.9996043493392275,48.7494475,9.2904835,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:29,4.964438871233296,4.979905153992577,5.054905153992578,0,0,,5.080041337193845,5.005419749038774,48.7494853,9.2904487,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:30,4.962045793927326,4.976387330352802,5.051387330352802,0,0,,5.0818113532075495,5.012059305190204,48.7495294,9.2904123,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:31,4.9599319089737195,4.972447703283939,5.0474477032839395,0,0,,5.083698518789091,5.019477571380998,48.7495774,9.290378,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:32,4.966871833161031,4.969564045130246,5.0445640451302465,0,1,,5.085697912796108,5.027620907805295,48.7496283,9.2903444,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:33,4.993873722096718,4.97050133374175,5.0455013337417505,0,0,,5.087804222672332,5.036428008487921,48.749675,9.2903168,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:34,5.025023611696087,4.975052169085269,5.050052169085269,0,0,,5.090011774672257,5.045830549868684,48.7497215,9.2902762,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:35,5.039262421666604,4.981393823946088,5.056393823946088,0,0,,5.092314566367726,5.055753953841273,48.7497611,9.2902418,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:36,5.038863575448942,4.9880266365458,5.0630266365458,0,0,,5.094706301193149,5.066118255278164,48.7497968,9.2902057,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:37,5.0355930364641175,4.99480303378387,5.06980303378387,0,0,,5.0971804247637635,5.076839061525978,48.7498331,9.2901742,12,Neckarhalde,Peter,5031975,female
